file,ground_truth,prediction,wer,accuracy
NP_000.wav,यो नेपाली भ्वाइस एआई परियोजनाको परीक्षण रेकर्डिङ हो।,,1.0,0.0
NP_001.wav,नमस्कार,नमस्कार।,1.0,0.0
NP_002.wav,नमस्ते,नमस्ते।,1.0,0.0
NP_003.wav,नमस्ते कस्तो छ,नवस्ती कोस्ते सा,1.0,0.0
NP_004.wav,नमस्कार सबै ठीक छ,नवस्कार। सवे तिक से हाँ।,1.25,0.0
NP_005.wav,हेल्लो,,1.0,0.0
NP_006.wav,हेल्लो के छ खबर,,1.0,0.0
NP_007.wav,के छ,किसा,1.0,0.0
NP_008.wav,के हुँदैछ,किवो देशा,1.0,0.0
NP_009.wav,के खबर,क्यों खबर।,1.0,0.0
NP_010.wav,सबै ठीक छ,सभी तिक्षा,1.0,0.0
NP_011.wav,शुभ प्रभात,सुव प्रवाथ।,1.0,0.0
NP_012.wav,शुभ बिहानी,सुब भभ्यानी।,1.0,0.0
NP_013.wav,शुभ दिन,सुवादिन।,1.0,0.0
NP_014.wav,शुभ अपरान्ह,सुब अपराना,1.0,0.0
NP_015.wav,शुभ साँझ,सुबसाज।,1.0,0.0
NP_016.wav,शुभ रात्रि,सुप रात्री,1.0,0.0
NP_017.wav,आजको दिन शुभ रहोस्,अजो को धिन सुवर आउस।,1.25,0.0
NP_018.wav,शुभ बिहानी होस्,सुवभ भिहानी होस।,1.0,0.0
NP_019.wav,रमाइलो साँझ,रमाईलु साथ।,1.0,0.0
NP_020.wav,आरामसँग सुत्नुहोस्,अराम सानसुत नुशुपूझ।,1.5,0.0
NP_021.wav,के छ यार,किसे यार।,1.0,0.0
NP_022.wav,कस्तो छ जिन्दगी,कोसुसा जिन्देगी,1.0,0.0
NP_023.wav,धेरै दिनपछि भेट भयो,तेरे इदिन पची भेट बायो।,1.0,0.0
NP_024.wav,तिमी ठीक छौ,तीमें तीक्स होँ।,1.0,0.0
NP_025.wav,आज राम्रो देखिन्छौ,अज रहम रो देखिंतो।,1.3333333333333333,0.0
NP_026.wav,सबै ठिकै छ नि,सब एक तेकली सानी।,1.0,0.0
NP_027.wav,कस्तो चल्दैछ,कोस्तो थाल देशा,1.5,0.0
NP_028.wav,मज्जाले छ,मच्चाइचा,1.0,0.0
NP_029.wav,के गर्दैछौ,किई गद आज्यो,1.5,0.0
NP_030.wav,आज के प्लान छ,आजे कीप्लान्सा,1.0,0.0
NP_031.wav,तपाईंलाई भेटेर खुशी लाग्यो,तबाला बिटर खुशी लागे हैं।,1.0,0.0
NP_032.wav,तपाईं कस्तो हुनुहुन्छ,तपे कस्तो हूनुचा,0.6666666666666666,33.333333333333336
NP_033.wav,सबै कुरा राम्रो छ,सबे कुरा रहा रहा हैं पर।,1.25,0.0
NP_034.wav,आशा छ तपाईं ठीक हुनुहुन्छ,आशाच तबाई त्हेक हुन्छा,1.0,0.0
NP_035.wav,स्वागत छ,स्वागत्स,1.0,0.0
NP_036.wav,यहाँ आउनुभएकोमा धन्यवाद,यहाँ अनु भाईकोमा धान्नेबाद।,1.0,0.0
NP_037.wav,भेट भएर खुशी लाग्यो,बेट बाईरा खुसी लागे,1.0,0.0
NP_038.wav,तपाईंको दिन शुभ रहोस्,तपाइ को दिन सुग रहूँज।,1.0,0.0
NP_039.wav,कृपया बस्नुहोस्,क्रिपया बस नुहुस,1.5,0.0
NP_040.wav,आरामसँग आउनुहोस्,अराम साणा ओनो रूस।,2.0,0.0
NP_041.wav,ल के छ त,लग के छाता,0.75,25.0
NP_042.wav,हैन के छ खबर,आइना के सब अबार।,0.75,25.0
NP_043.wav,आज त राम्रो मौसम छ है,आजे ता राम्दर मोसं चाही।,1.0,0.0
NP_044.wav,धेरै समयपछि हो,तेरे समे पसे हुँ।,1.3333333333333333,0.0
NP_045.wav,तिमी यहाँ,तिमिया,1.0,0.0
NP_046.wav,सबै ठीकठाक छ,सावे तिक तासे,1.0,0.0
NP_047.wav,आज कस्तो दिन छ,आजा कोस्तो दिन छे,0.75,25.0
NP_048.wav,के नयाँ छ,किन नहीं असा,1.0,0.0
NP_049.wav,मज्जाले बित्दैछ,मद्जाली बिध्धेसे।,1.0,0.0
NP_050.wav,ल भेट भयो नि,ला बेर बायोनी,1.0,0.0
